,movie,year,imdb,metascore,votes,n_imdb
2807,Logan,2017,8.1,77,505421,80
2808,Wonder Woman,2017,7.5,76,433762,70
2809,Dunkirk,2017,8.0,94,415273,80
2810,Star Wars: The Last Jedi,2017,7.2,85,411276,70
2811,Guardians of the Galaxy Vol. 2,2017,7.7,67,406778,70
2812,Thor: Ragnarok,2017,7.9,74,380812,70
2813,Spider-Man: Homecoming,2017,7.5,73,353722,70
2814,Corra!,2017,7.7,84,328672,70
2815,Blade Runner 2049,2017,8.1,81,326759,80
2816,Baby Driver,2017,7.7,86,321517,70
2817,It,2017,7.4,69,302327,70
2818,Justice League,2017,6.6,45,279088,60
2819,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,273127,80
2820,The Shape of Water,2017,7.4,87,245959,70
2821,John Wick: Chapter 2,2017,7.5,75,241372,70
2822,Beauty and the Beast,2017,7.2,65,215359,70
2823,Kong: Skull Island,2017,6.7,62,214606,60
2824,Coco,2017,8.4,81,212399,80
2825,Alien: Covenant,2017,6.4,65,207553,60
2826,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,205094,60
2827,Kingsman: The Golden Circle,2017,6.8,44,200068,60
2828,Jumanji: Welcome to the Jungle,2017,7.0,58,199428,70
2829,War for the Planet of the Apes,2017,7.5,82,182807,70
2830,The Fate of the Furious,2017,6.7,56,166603,60
2831,Life,2017,6.6,54,163625,60
2832,Ghost in the Shell,2017,6.4,52,159563,60
2833,King Arthur: Legend of the Sword,2017,6.8,41,154756,60
2834,Murder on the Orient Express,2017,6.5,52,152485,60
2835,The Greatest Showman,2017,7.7,48,150177,70
2836,Lady Bird,2017,7.5,94,144179,70
2837,The Hitman's Bodyguard,2017,6.9,47,142638,60
2838,Wind River,2017,7.8,73,140359,70
2839,A Múmia,2017,5.5,34,139665,50
2840,Bright,2017,6.4,29,133916,60
2841,Atômica,2017,6.7,63,133371,60
2842,Mother!,2017,6.7,75,131898,60
2843,Valerian and the City of a Thousand Planets,2017,6.5,51,125258,60
2844,Me Chame pelo Seu Nome,2017,8.0,93,122919,80
2845,Baywatch,2017,5.6,37,115069,50
2846,American Made,2017,7.2,65,113754,70
2847,Darkest Hour,2017,7.4,75,111048,70
2848,"I, Tonya",2017,7.5,77,108507,70
2849,Transformers: The Last Knight,2017,5.2,27,105309,50
2850,The Lego Batman Movie,2017,7.3,75,103989,70
2851,The Dark Tower,2017,5.7,34,96400,50
2852,The Big Sick,2017,7.6,86,92748,70
2853,The Disaster Artist,2017,7.5,76,92472,70
2854,Logan Lucky,2017,7.0,78,91953,70
2855,Wonder,2017,8.0,66,86567,80
2856,The Post,2017,7.2,83,86432,70
2857,T2 Trainspotting,2017,7.2,67,85475,70
2858,Power Rangers,2017,6.0,44,85292,60
2859,The Boss Baby,2017,6.3,50,83534,60
2860,A Grande Jogada,2017,7.5,71,79714,70
2861,Despicable Me 3,2017,6.3,49,79362,60
2862,Annabelle: Creation,2017,6.6,62,75693,60
2863,Fifty Shades Darker,2017,4.6,33,74567,40
2864,Gifted,2017,7.6,60,72485,70
2865,xXx: Return of Xander Cage,2017,5.2,42,72236,50
2866,What Happened to Monday,2017,6.9,47,71382,60
2867,The Killing of a Sacred Deer,2017,7.1,73,70700,70
2868,The Foreigner,2017,7.0,55,70407,70
2869,Phantom Thread,2017,7.6,90,68476,70
2870,Geostorm,2017,5.3,21,67002,50
2871,O Círculo,2017,5.3,43,65189,50
2872,Okja,2017,7.3,75,63673,70
2873,Happy Death Day,2017,6.5,57,63410,60
2874,It Comes at Night,2017,6.2,78,60955,60
2875,Death Note,2017,4.6,43,60714,40
2876,Going in Style,2017,6.6,50,59367,60
2877,The Florida Project,2017,7.6,92,58135,70
2878,Downsizing,2017,5.7,63,57855,50
2879,Gerald's Game,2017,6.6,77,50765,60
2880,Shot Caller,2017,7.3,59,50161,70
2881,Cars 3,2017,6.8,59,49820,60
2882,American Assassin,2017,6.2,45,49793,60
2883,Jigsaw,2017,5.8,39,48125,50
2884,All the Money in the World,2017,6.9,72,47780,60
2885,The Mountain Between Us,2017,6.4,48,47526,60
2886,A Dog's Purpose,2017,7.0,43,46809,70
2887,A Morte de Stalin,2017,7.2,88,45522,70
2888,You Were Never Really Here,2017,6.9,84,44057,60
2889,Good Time,2017,7.3,80,43458,70
2890,The Emoji Movie,2017,3.2,12,42306,30
2891,The Snowman,2017,5.1,23,40684,50
2892,The Ritual,2017,6.3,57,40568,60
2893,A Ghost Story,2017,6.8,84,39472,60
2894,The Beguiled,2017,6.3,77,37854,60
2895,Hostiles,2017,7.2,65,37254,70
2896,Daddy's Home 2,2017,6.0,30,37100,60
2897,The Space Between Us,2017,6.4,33,36424,60
2898,Brawl in Cell Block 99,2017,7.1,79,36310,70
2899,The Square: A Arte da Discórdia,2017,7.3,73,36235,70
2900,Battle of the Sexes,2017,6.7,73,36023,60
2901,Pitch Perfect 3,2017,5.9,40,35039,50
2902,Detroit,2017,7.4,77,34809,70
2903,Rough Night,2017,5.2,51,34760,50
2904,Paddington 2,2017,7.9,88,34670,70
2905,47 Metres Down,2017,5.6,52,34371,50
2906,Before I Fall,2017,6.4,58,34206,60
2907,Only the Brave,2017,7.7,72,34024,70
2908,CHIPS,2017,6.0,28,32429,60
2909,I Don't Feel at Home in This World Anymore.,2017,7.0,75,32228,70
2910,"Com Amor, Van Gogh",2017,7.8,62,31718,70
2911,Ferdinand,2017,6.7,58,31649,60
2912,Fist Fight,2017,5.6,37,31247,50
2913,Rings,2017,4.5,25,31158,40
2914,War Machine,2017,6.0,56,31096,60
2915,Na Selva,2017,6.7,48,30448,60
2916,Flatliners,2017,5.2,27,28692,50
2917,Mudbound,2017,7.4,85,28541,70
2918,The House,2017,5.6,30,28364,50
2919,1922,2017,6.3,70,28284,60
2920,To the Bone,2017,6.9,64,28085,60
2921,The Zookeeper's Wife,2017,7.0,57,27474,70
2922,Snatched,2017,4.4,45,27455,40
2923,Stronger,2017,7.0,76,26662,70
2924,Girls Trip,2017,6.2,71,25819,60
2925,Kidnap,2017,5.9,44,25741,50
2926,The Meyerowitz Stories (New and Selected),2017,7.0,79,25692,70
2927,A Bad Moms Christmas,2017,5.5,42,25529,50
2928,Suburbicon,2017,5.6,42,25256,50
2929,Icarus,2017,8.0,68,23594,80
2930,The Shack,2017,6.3,32,23077,60
2931,Ingrid Goes West,2017,6.6,71,23048,60
2932,Sleepless,2017,5.6,34,22960,50
2933,"Everything, Everything",2017,6.4,52,22360,60
2934,The Discovery,2017,6.3,54,21927,60
2935,Amor em Tempos de Guerra,2017,6.7,26,21361,60
2936,Victoria & Abdul,2017,6.8,58,21164,60
2937,Table 19,2017,5.8,40,20072,50
2938,Conspiração Terrorista,2017,6.2,46,20046,60
2939,Captain Underpants: The First Epic Movie,2017,6.2,69,19806,60
2940,Loveless,2017,7.7,86,19326,70
2941,Cargo,2017,6.3,65,19029,60
2942,The Glass Castle,2017,7.2,56,18534,70
2943,I Kill Giants,2017,6.2,74,18427,60
2944,Home Again,2017,5.8,41,18352,50
2945,Roman J. Israel,2017,6.4,58,18191,60
2946,The Wall,2017,6.2,57,18072,60
